
Processing grid size (6, 6) with 216 examples...
Grid Size (30, 30) | Epoch [380/500] | D Loss: 0.4346 | G Loss: 2.0594
Grid Size (30, 30) | Epoch [390/500] | D Loss: 0.4332 | G Loss: 2.0639
Grid Size (30, 30) | Epoch [400/500] | D Loss: 0.3790 | G Loss: 1.9375
Grid Size (30, 30) | Epoch [410/500] | D Loss: 0.3432 | G Loss: 2.5171
Grid Size (30, 30) | Epoch [420/500] | D Loss: 0.3643 | G Loss: 1.9100
Grid Size (30, 30) | Epoch [430/500] | D Loss: 0.4304 | G Loss: 2.3830
Grid Size (30, 30) | Epoch [440/500] | D Loss: 0.3562 | G Loss: 2.6224
Grid Size (30, 30) | Epoch [450/500] | D Loss: 0.3391 | G Loss: 2.0990
Grid Size (30, 30) | Epoch [460/500] | D Loss: 0.2949 | G Loss: 2.0161
Grid Size (30, 30) | Epoch [470/500] | D Loss: 0.3693 | G Loss: 2.0403
Grid Size (30, 30) | Epoch [480/500] | D Loss: 0.3008 | G Loss: 2.3219
Grid Size (30, 30) | Epoch [490/500] | D Loss: 0.4304 | G Loss: 1.9477

Training complete for grid size (30, 30).

Generating 200 new examples for grid size (30, 30)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_30x30.json'.

Processing grid size (11, 10) with 18 examples...
Skipping training for grid size (11, 10) due to insufficient data (18 examples).

Processing grid size (10, 11) with 22 examples...
Skipping training for grid size (10, 11) due to insufficient data (22 examples).

Processing grid size (24, 22) with 8 examples...
Skipping training for grid size (24, 22) due to insufficient data (8 examples).

Processing grid size (22, 24) with 8 examples...
Skipping training for grid size (22, 24) due to insufficient data (8 examples).

Processing grid size (26, 26) with 56 examples...
Skipping training for grid size (26, 26) due to insufficient data (56 examples).

Processing grid size (11, 11) with 176 examples...
Using Conv models for grid size (11, 11).
Grid Size (11, 11) | Epoch [0/500] | D Loss: 1.2962 | G Loss: 1.0802
Grid Size (11, 11) | Epoch [10/500] | D Loss: 0.7081 | G Loss: 1.5394
Grid Size (11, 11) | Epoch [20/500] | D Loss: 0.8993 | G Loss: 1.4303
Grid Size (11, 11) | Epoch [30/500] | D Loss: 0.7903 | G Loss: 1.7719
Grid Size (11, 11) | Epoch [40/500] | D Loss: 0.3495 | G Loss: 2.5712
Grid Size (11, 11) | Epoch [50/500] | D Loss: 0.4420 | G Loss: 2.4594
Grid Size (11, 11) | Epoch [60/500] | D Loss: 0.4718 | G Loss: 2.3947
Grid Size (11, 11) | Epoch [70/500] | D Loss: 0.4871 | G Loss: 2.1958
Grid Size (11, 11) | Epoch [80/500] | D Loss: 0.7769 | G Loss: 1.1807
Grid Size (11, 11) | Epoch [90/500] | D Loss: 0.9500 | G Loss: 1.2428
Grid Size (11, 11) | Epoch [100/500] | D Loss: 0.9669 | G Loss: 1.4362
Grid Size (11, 11) | Epoch [110/500] | D Loss: 0.7888 | G Loss: 1.7878
Grid Size (11, 11) | Epoch [120/500] | D Loss: 0.8940 | G Loss: 1.1738
Grid Size (11, 11) | Epoch [130/500] | D Loss: 0.6496 | G Loss: 1.5154
Grid Size (11, 11) | Epoch [140/500] | D Loss: 0.7274 | G Loss: 1.1592
Grid Size (11, 11) | Epoch [150/500] | D Loss: 0.5644 | G Loss: 1.7075
Grid Size (11, 11) | Epoch [160/500] | D Loss: 0.5655 | G Loss: 1.6836
Grid Size (11, 11) | Epoch [170/500] | D Loss: 0.5659 | G Loss: 1.8572
Grid Size (11, 11) | Epoch [180/500] | D Loss: 0.5004 | G Loss: 1.8494
Grid Size (11, 11) | Epoch [190/500] | D Loss: 0.4531 | G Loss: 1.9416
Grid Size (11, 11) | Epoch [200/500] | D Loss: 0.4503 | G Loss: 1.7504
Grid Size (11, 11) | Epoch [210/500] | D Loss: 0.4792 | G Loss: 1.7053
Grid Size (11, 11) | Epoch [220/500] | D Loss: 0.4190 | G Loss: 2.1466
Grid Size (11, 11) | Epoch [230/500] | D Loss: 0.3342 | G Loss: 2.0596
Grid Size (11, 11) | Epoch [240/500] | D Loss: 0.3230 | G Loss: 1.8574
Grid Size (11, 11) | Epoch [250/500] | D Loss: 0.4939 | G Loss: 1.7091
Grid Size (11, 11) | Epoch [260/500] | D Loss: 0.3230 | G Loss: 2.6567
Grid Size (11, 11) | Epoch [270/500] | D Loss: 0.2849 | G Loss: 1.9798
Grid Size (11, 11) | Epoch [280/500] | D Loss: 0.3154 | G Loss: 2.2904
Grid Size (11, 11) | Epoch [290/500] | D Loss: 0.2509 | G Loss: 2.2596
Grid Size (11, 11) | Epoch [300/500] | D Loss: 0.3547 | G Loss: 2.1078
Grid Size (11, 11) | Epoch [310/500] | D Loss: 0.2371 | G Loss: 2.6439
Grid Size (11, 11) | Epoch [320/500] | D Loss: 0.2070 | G Loss: 2.5684
Grid Size (11, 11) | Epoch [330/500] | D Loss: 0.2108 | G Loss: 2.5909
Grid Size (11, 11) | Epoch [340/500] | D Loss: 0.2733 | G Loss: 3.4026
Grid Size (11, 11) | Epoch [350/500] | D Loss: 0.3055 | G Loss: 2.9454
Grid Size (11, 11) | Epoch [360/500] | D Loss: 0.2047 | G Loss: 2.8353
Grid Size (11, 11) | Epoch [370/500] | D Loss: 0.1972 | G Loss: 2.8646
Grid Size (11, 11) | Epoch [380/500] | D Loss: 0.2016 | G Loss: 3.3718
Grid Size (11, 11) | Epoch [390/500] | D Loss: 0.2245 | G Loss: 2.5128
Grid Size (11, 11) | Epoch [400/500] | D Loss: 0.1544 | G Loss: 3.2511
Grid Size (11, 11) | Epoch [410/500] | D Loss: 0.1519 | G Loss: 3.2594
Grid Size (11, 11) | Epoch [420/500] | D Loss: 0.1601 | G Loss: 3.4220
Grid Size (11, 11) | Epoch [430/500] | D Loss: 0.1209 | G Loss: 3.4027
Grid Size (11, 11) | Epoch [440/500] | D Loss: 0.2901 | G Loss: 4.3872
Grid Size (11, 11) | Epoch [450/500] | D Loss: 0.2842 | G Loss: 2.7214
Grid Size (11, 11) | Epoch [460/500] | D Loss: 0.1251 | G Loss: 2.8116
Grid Size (11, 11) | Epoch [470/500] | D Loss: 0.1190 | G Loss: 3.2736
Grid Size (11, 11) | Epoch [480/500] | D Loss: 0.1359 | G Loss: 3.6562
Grid Size (11, 11) | Epoch [490/500] | D Loss: 0.1429 | G Loss: 3.6865

Training complete for grid size (11, 11).

Generating 200 new examples for grid size (11, 11)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_11x11.json'.

Processing grid size (12, 12) with 248 examples...
Using Conv models for grid size (12, 12).
Grid Size (12, 12) | Epoch [0/500] | D Loss: 1.5372 | G Loss: 0.6354
Grid Size (12, 12) | Epoch [10/500] | D Loss: 0.7238 | G Loss: 1.3812
Grid Size (12, 12) | Epoch [20/500] | D Loss: 0.7009 | G Loss: 1.6001
Grid Size (12, 12) | Epoch [30/500] | D Loss: 0.8306 | G Loss: 1.6619
Grid Size (12, 12) | Epoch [40/500] | D Loss: 0.8810 | G Loss: 1.7000
Grid Size (12, 12) | Epoch [50/500] | D Loss: 1.1668 | G Loss: 1.2802
Grid Size (12, 12) | Epoch [60/500] | D Loss: 0.9910 | G Loss: 1.1062
Grid Size (12, 12) | Epoch [70/500] | D Loss: 0.9373 | G Loss: 1.1336
Grid Size (12, 12) | Epoch [80/500] | D Loss: 0.8825 | G Loss: 1.5238
Grid Size (12, 12) | Epoch [90/500] | D Loss: 0.9709 | G Loss: 1.2533
Grid Size (12, 12) | Epoch [100/500] | D Loss: 0.8048 | G Loss: 1.3083
Grid Size (12, 12) | Epoch [110/500] | D Loss: 0.8947 | G Loss: 1.2492
Grid Size (12, 12) | Epoch [120/500] | D Loss: 0.9424 | G Loss: 1.4377
Grid Size (12, 12) | Epoch [130/500] | D Loss: 0.7838 | G Loss: 1.4659
Grid Size (12, 12) | Epoch [140/500] | D Loss: 0.7126 | G Loss: 1.2622
Grid Size (12, 12) | Epoch [150/500] | D Loss: 0.6501 | G Loss: 1.4642
Grid Size (12, 12) | Epoch [160/500] | D Loss: 0.6702 | G Loss: 1.3269
Grid Size (12, 12) | Epoch [170/500] | D Loss: 0.6202 | G Loss: 1.6577
Grid Size (12, 12) | Epoch [180/500] | D Loss: 0.6053 | G Loss: 1.3090
Grid Size (12, 12) | Epoch [190/500] | D Loss: 0.5568 | G Loss: 1.5715
Grid Size (12, 12) | Epoch [200/500] | D Loss: 0.5290 | G Loss: 1.5218
Grid Size (12, 12) | Epoch [210/500] | D Loss: 0.4694 | G Loss: 1.6766
Grid Size (12, 12) | Epoch [220/500] | D Loss: 0.4377 | G Loss: 2.2268
Grid Size (12, 12) | Epoch [230/500] | D Loss: 0.3705 | G Loss: 1.9278
Grid Size (12, 12) | Epoch [240/500] | D Loss: 0.3213 | G Loss: 2.1033
Grid Size (12, 12) | Epoch [250/500] | D Loss: 0.3572 | G Loss: 2.0843
Grid Size (12, 12) | Epoch [260/500] | D Loss: 0.2739 | G Loss: 2.2268
Grid Size (12, 12) | Epoch [270/500] | D Loss: 0.3452 | G Loss: 2.1714
Grid Size (12, 12) | Epoch [280/500] | D Loss: 0.3155 | G Loss: 2.3742
Grid Size (12, 12) | Epoch [290/500] | D Loss: 0.2851 | G Loss: 2.1460
Grid Size (12, 12) | Epoch [300/500] | D Loss: 0.4151 | G Loss: 3.1283
Grid Size (12, 12) | Epoch [310/500] | D Loss: 0.2539 | G Loss: 2.7027
Grid Size (12, 12) | Epoch [320/500] | D Loss: 0.2552 | G Loss: 2.7039
Grid Size (12, 12) | Epoch [330/500] | D Loss: 0.3596 | G Loss: 2.1857
Grid Size (12, 12) | Epoch [340/500] | D Loss: 0.2902 | G Loss: 2.1383
Grid Size (12, 12) | Epoch [350/500] | D Loss: 0.5010 | G Loss: 2.3702
Grid Size (12, 12) | Epoch [360/500] | D Loss: 0.3306 | G Loss: 2.1333
Grid Size (12, 12) | Epoch [370/500] | D Loss: 0.2567 | G Loss: 2.1647
Grid Size (12, 12) | Epoch [380/500] | D Loss: 0.3430 | G Loss: 2.5555
Grid Size (12, 12) | Epoch [390/500] | D Loss: 0.2536 | G Loss: 2.5514
Grid Size (12, 12) | Epoch [400/500] | D Loss: 0.2053 | G Loss: 2.5907
Grid Size (12, 12) | Epoch [410/500] | D Loss: 0.2547 | G Loss: 2.5957
Grid Size (12, 12) | Epoch [420/500] | D Loss: 0.3077 | G Loss: 2.5234
Grid Size (12, 12) | Epoch [430/500] | D Loss: 0.2042 | G Loss: 2.5048
Grid Size (12, 12) | Epoch [440/500] | D Loss: 0.2521 | G Loss: 3.0469
Grid Size (12, 12) | Epoch [450/500] | D Loss: 0.2380 | G Loss: 2.5379
Grid Size (12, 12) | Epoch [460/500] | D Loss: 0.1754 | G Loss: 2.4680
Grid Size (12, 12) | Epoch [470/500] | D Loss: 0.1676 | G Loss: 3.1098
Grid Size (12, 12) | Epoch [480/500] | D Loss: 0.1932 | G Loss: 3.3399
Grid Size (12, 12) | Epoch [490/500] | D Loss: 0.1829 | G Loss: 3.0236

Training complete for grid size (12, 12).

Generating 200 new examples for grid size (12, 12)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_12x12.json'.

Processing grid size (4, 3) with 52 examples...
Skipping training for grid size (4, 3) due to insufficient data (52 examples).

Processing grid size (3, 4) with 28 examples...
Skipping training for grid size (3, 4) due to insufficient data (28 examples).

Processing grid size (15, 17) with 28 examples...
Skipping training for grid size (15, 17) due to insufficient data (28 examples).

Processing grid size (17, 15) with 20 examples...
Skipping training for grid size (17, 15) due to insufficient data (20 examples).

Processing grid size (11, 27) with 6 examples...
Skipping training for grid size (11, 27) due to insufficient data (6 examples).

Processing grid size (27, 11) with 2 examples...
Skipping training for grid size (27, 11) due to insufficient data (2 examples).

Processing grid size (15, 15) with 280 examples...
Using Conv models for grid size (15, 15).
Grid Size (15, 15) | Epoch [0/500] | D Loss: 1.4802 | G Loss: 0.8043
Grid Size (15, 15) | Epoch [10/500] | D Loss: 0.4496 | G Loss: 1.6999
Grid Size (15, 15) | Epoch [20/500] | D Loss: 0.5416 | G Loss: 1.8971
Grid Size (15, 15) | Epoch [30/500] | D Loss: 0.5432 | G Loss: 2.1146
Grid Size (15, 15) | Epoch [40/500] | D Loss: 0.3643 | G Loss: 2.4517
Grid Size (15, 15) | Epoch [50/500] | D Loss: 0.3904 | G Loss: 2.4427
Grid Size (15, 15) | Epoch [60/500] | D Loss: 0.4818 | G Loss: 1.7449
Grid Size (15, 15) | Epoch [70/500] | D Loss: 0.3481 | G Loss: 2.0048
Grid Size (15, 15) | Epoch [80/500] | D Loss: 0.4181 | G Loss: 1.9292
Grid Size (15, 15) | Epoch [90/500] | D Loss: 0.3408 | G Loss: 2.1638
Grid Size (15, 15) | Epoch [100/500] | D Loss: 1.0004 | G Loss: 1.4089
Grid Size (15, 15) | Epoch [110/500] | D Loss: 1.0862 | G Loss: 1.4396
Grid Size (15, 15) | Epoch [120/500] | D Loss: 0.6810 | G Loss: 1.7501
Grid Size (15, 15) | Epoch [130/500] | D Loss: 0.5323 | G Loss: 1.7125
Grid Size (15, 15) | Epoch [140/500] | D Loss: 0.5734 | G Loss: 1.9063
Grid Size (15, 15) | Epoch [150/500] | D Loss: 0.8271 | G Loss: 1.8962
Grid Size (15, 15) | Epoch [160/500] | D Loss: 0.8518 | G Loss: 1.3505
Grid Size (15, 15) | Epoch [170/500] | D Loss: 0.8187 | G Loss: 1.7256
Grid Size (15, 15) | Epoch [180/500] | D Loss: 0.7633 | G Loss: 1.5541
Grid Size (15, 15) | Epoch [190/500] | D Loss: 0.6835 | G Loss: 1.6636
Grid Size (15, 15) | Epoch [200/500] | D Loss: 0.6019 | G Loss: 2.0072
Grid Size (15, 15) | Epoch [210/500] | D Loss: 0.7141 | G Loss: 1.0689
Grid Size (15, 15) | Epoch [220/500] | D Loss: 0.6972 | G Loss: 1.1980
Grid Size (15, 15) | Epoch [230/500] | D Loss: 0.8189 | G Loss: 1.7170
Grid Size (15, 15) | Epoch [240/500] | D Loss: 0.6326 | G Loss: 1.5814
Grid Size (15, 15) | Epoch [250/500] | D Loss: 0.7214 | G Loss: 1.4349
Grid Size (15, 15) | Epoch [260/500] | D Loss: 0.6368 | G Loss: 2.0938
Grid Size (15, 15) | Epoch [270/500] | D Loss: 0.5353 | G Loss: 1.7111
Grid Size (15, 15) | Epoch [280/500] | D Loss: 0.7712 | G Loss: 2.0301
Grid Size (15, 15) | Epoch [290/500] | D Loss: 0.5410 | G Loss: 1.7263
Grid Size (15, 15) | Epoch [300/500] | D Loss: 0.6136 | G Loss: 1.5260
Grid Size (15, 15) | Epoch [310/500] | D Loss: 0.5776 | G Loss: 1.6642
Grid Size (15, 15) | Epoch [320/500] | D Loss: 0.5025 | G Loss: 1.8035
Grid Size (15, 15) | Epoch [330/500] | D Loss: 0.6519 | G Loss: 2.0043
Grid Size (15, 15) | Epoch [340/500] | D Loss: 0.4239 | G Loss: 1.6152
Grid Size (15, 15) | Epoch [350/500] | D Loss: 0.4591 | G Loss: 1.7868
Grid Size (15, 15) | Epoch [360/500] | D Loss: 0.4974 | G Loss: 2.3588
Grid Size (15, 15) | Epoch [370/500] | D Loss: 0.4532 | G Loss: 2.1098
Grid Size (15, 15) | Epoch [380/500] | D Loss: 0.5184 | G Loss: 1.7071
Grid Size (15, 15) | Epoch [390/500] | D Loss: 0.4483 | G Loss: 1.5040
Grid Size (15, 15) | Epoch [400/500] | D Loss: 0.4227 | G Loss: 2.1607
Grid Size (15, 15) | Epoch [410/500] | D Loss: 0.4535 | G Loss: 1.9632
Grid Size (15, 15) | Epoch [420/500] | D Loss: 0.3807 | G Loss: 2.0577
Grid Size (15, 15) | Epoch [430/500] | D Loss: 0.3931 | G Loss: 2.1123
Grid Size (15, 15) | Epoch [440/500] | D Loss: 0.5105 | G Loss: 2.8161
Grid Size (15, 15) | Epoch [450/500] | D Loss: 0.3457 | G Loss: 2.3071
Grid Size (15, 15) | Epoch [460/500] | D Loss: 0.3504 | G Loss: 2.2232
Grid Size (15, 15) | Epoch [470/500] | D Loss: 0.5121 | G Loss: 1.8957
Grid Size (15, 15) | Epoch [480/500] | D Loss: 0.3041 | G Loss: 2.3224
Grid Size (15, 15) | Epoch [490/500] | D Loss: 0.4896 | G Loss: 2.6997

Training complete for grid size (15, 15).

Generating 200 new examples for grid size (15, 15)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_15x15.json'.

Processing grid size (6, 8) with 24 examples...
Skipping training for grid size (6, 8) due to insufficient data (24 examples).

Processing grid size (8, 6) with 8 examples...
Skipping training for grid size (8, 6) due to insufficient data (8 examples).

Processing grid size (6, 4) with 46 examples...
Skipping training for grid size (6, 4) due to insufficient data (46 examples).

Processing grid size (4, 6) with 26 examples...
Skipping training for grid size (4, 6) due to insufficient data (26 examples).

Processing grid size (23, 25) with 6 examples...
Skipping training for grid size (23, 25) due to insufficient data (6 examples).

Processing grid size (25, 23) with 2 examples...
Skipping training for grid size (25, 23) due to insufficient data (2 examples).

Processing grid size (24, 19) with 8 examples...
Skipping training for grid size (24, 19) due to insufficient data (8 examples).

Processing grid size (19, 24) with 8 examples...
Skipping training for grid size (19, 24) due to insufficient data (8 examples).

Processing grid size (13, 13) with 152 examples...
Using Conv models for grid size (13, 13).
Grid Size (13, 13) | Epoch [0/500] | D Loss: 1.3332 | G Loss: 1.0421
Grid Size (13, 13) | Epoch [10/500] | D Loss: 0.3322 | G Loss: 2.2847
Grid Size (13, 13) | Epoch [20/500] | D Loss: 0.1931 | G Loss: 3.0206
Grid Size (13, 13) | Epoch [30/500] | D Loss: 0.2849 | G Loss: 2.5699
Grid Size (13, 13) | Epoch [40/500] | D Loss: 0.3507 | G Loss: 2.8336
Grid Size (13, 13) | Epoch [50/500] | D Loss: 0.2099 | G Loss: 3.0843
Grid Size (13, 13) | Epoch [60/500] | D Loss: 0.4781 | G Loss: 2.5835
Grid Size (13, 13) | Epoch [70/500] | D Loss: 0.6551 | G Loss: 2.4622
Grid Size (13, 13) | Epoch [80/500] | D Loss: 0.3095 | G Loss: 2.3301
Grid Size (13, 13) | Epoch [90/500] | D Loss: 0.3768 | G Loss: 3.0603
Grid Size (13, 13) | Epoch [100/500] | D Loss: 0.6103 | G Loss: 2.1292
Grid Size (13, 13) | Epoch [110/500] | D Loss: 0.5881 | G Loss: 2.1468
Grid Size (13, 13) | Epoch [120/500] | D Loss: 0.4982 | G Loss: 2.0879
Grid Size (13, 13) | Epoch [130/500] | D Loss: 0.5278 | G Loss: 2.3950
Grid Size (13, 13) | Epoch [140/500] | D Loss: 0.6154 | G Loss: 2.1097
Grid Size (13, 13) | Epoch [150/500] | D Loss: 0.4229 | G Loss: 2.2510
Grid Size (13, 13) | Epoch [160/500] | D Loss: 0.4290 | G Loss: 2.0006
Grid Size (13, 13) | Epoch [170/500] | D Loss: 0.4233 | G Loss: 2.1970
Grid Size (13, 13) | Epoch [180/500] | D Loss: 0.2759 | G Loss: 2.2931
Grid Size (13, 13) | Epoch [190/500] | D Loss: 0.2972 | G Loss: 2.3146
Grid Size (13, 13) | Epoch [200/500] | D Loss: 0.3437 | G Loss: 2.3079
Grid Size (13, 13) | Epoch [210/500] | D Loss: 1.0758 | G Loss: 2.1455
Grid Size (13, 13) | Epoch [220/500] | D Loss: 0.2611 | G Loss: 2.1910
Grid Size (13, 13) | Epoch [230/500] | D Loss: 0.2903 | G Loss: 2.5796
Grid Size (13, 13) | Epoch [240/500] | D Loss: 0.3245 | G Loss: 2.4054
Grid Size (13, 13) | Epoch [250/500] | D Loss: 0.2332 | G Loss: 2.8255
Grid Size (13, 13) | Epoch [260/500] | D Loss: 0.4366 | G Loss: 2.0150
Grid Size (13, 13) | Epoch [270/500] | D Loss: 0.4627 | G Loss: 2.9017
Grid Size (13, 13) | Epoch [280/500] | D Loss: 0.2216 | G Loss: 2.4574
Grid Size (13, 13) | Epoch [290/500] | D Loss: 0.3662 | G Loss: 1.7209
Grid Size (13, 13) | Epoch [300/500] | D Loss: 0.2893 | G Loss: 2.4391
Grid Size (13, 13) | Epoch [310/500] | D Loss: 0.2648 | G Loss: 2.0037
Grid Size (13, 13) | Epoch [320/500] | D Loss: 0.1714 | G Loss: 2.9708
Grid Size (13, 13) | Epoch [330/500] | D Loss: 0.2990 | G Loss: 2.1408
Grid Size (13, 13) | Epoch [340/500] | D Loss: 0.2120 | G Loss: 2.0550
Grid Size (13, 13) | Epoch [350/500] | D Loss: 0.5966 | G Loss: 2.8435
Grid Size (13, 13) | Epoch [360/500] | D Loss: 0.2375 | G Loss: 2.6230
Grid Size (13, 13) | Epoch [370/500] | D Loss: 0.2088 | G Loss: 3.1910
Grid Size (13, 13) | Epoch [380/500] | D Loss: 0.2669 | G Loss: 3.2728
Grid Size (13, 13) | Epoch [390/500] | D Loss: 0.1774 | G Loss: 2.3431
Grid Size (13, 13) | Epoch [400/500] | D Loss: 0.2584 | G Loss: 2.9304
Grid Size (13, 13) | Epoch [410/500] | D Loss: 0.3055 | G Loss: 3.1234
Grid Size (13, 13) | Epoch [420/500] | D Loss: 0.2384 | G Loss: 2.6417
Grid Size (13, 13) | Epoch [430/500] | D Loss: 0.1422 | G Loss: 3.2646
Grid Size (13, 13) | Epoch [440/500] | D Loss: 0.1954 | G Loss: 2.2853
Grid Size (13, 13) | Epoch [450/500] | D Loss: 0.3425 | G Loss: 1.7721
Grid Size (13, 13) | Epoch [460/500] | D Loss: 0.1452 | G Loss: 2.4339
Grid Size (13, 13) | Epoch [470/500] | D Loss: 0.1807 | G Loss: 3.1109
Grid Size (13, 13) | Epoch [480/500] | D Loss: 0.1705 | G Loss: 2.7173
Grid Size (13, 13) | Epoch [490/500] | D Loss: 0.2160 | G Loss: 3.0852

Training complete for grid size (13, 13).

Generating 200 new examples for grid size (13, 13)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_13x13.json'.

Processing grid size (16, 26) with 6 examples...
Skipping training for grid size (16, 26) due to insufficient data (6 examples).

Processing grid size (26, 16) with 2 examples...
Skipping training for grid size (26, 16) due to insufficient data (2 examples).

Processing grid size (12, 10) with 18 examples...
Skipping training for grid size (12, 10) due to insufficient data (18 examples).

Processing grid size (10, 12) with 22 examples...
Skipping training for grid size (10, 12) due to insufficient data (22 examples).

Processing grid size (8, 8) with 168 examples...
Using Conv models for grid size (8, 8).
Grid Size (8, 8) | Epoch [0/500] | D Loss: 1.4448 | G Loss: 0.7126
Grid Size (8, 8) | Epoch [10/500] | D Loss: 0.8054 | G Loss: 1.3785
Grid Size (8, 8) | Epoch [20/500] | D Loss: 1.0456 | G Loss: 1.0349
Grid Size (8, 8) | Epoch [30/500] | D Loss: 0.9147 | G Loss: 1.3296
Grid Size (8, 8) | Epoch [40/500] | D Loss: 0.9904 | G Loss: 0.9998
Grid Size (8, 8) | Epoch [50/500] | D Loss: 1.0349 | G Loss: 1.0881
Grid Size (8, 8) | Epoch [60/500] | D Loss: 0.9427 | G Loss: 1.1890
Grid Size (8, 8) | Epoch [70/500] | D Loss: 1.0139 | G Loss: 1.1306
Grid Size (8, 8) | Epoch [80/500] | D Loss: 0.8553 | G Loss: 1.2912
Grid Size (8, 8) | Epoch [90/500] | D Loss: 0.8319 | G Loss: 1.3382
Grid Size (8, 8) | Epoch [100/500] | D Loss: 0.8218 | G Loss: 1.2381
Grid Size (8, 8) | Epoch [110/500] | D Loss: 0.8115 | G Loss: 1.4165
Grid Size (8, 8) | Epoch [120/500] | D Loss: 0.6867 | G Loss: 1.4601
Grid Size (8, 8) | Epoch [130/500] | D Loss: 0.7038 | G Loss: 1.4308
Grid Size (8, 8) | Epoch [140/500] | D Loss: 0.7518 | G Loss: 1.5595
Grid Size (8, 8) | Epoch [150/500] | D Loss: 0.5425 | G Loss: 1.6104
Grid Size (8, 8) | Epoch [160/500] | D Loss: 0.4983 | G Loss: 1.8712
Grid Size (8, 8) | Epoch [170/500] | D Loss: 0.6140 | G Loss: 1.6808
Grid Size (8, 8) | Epoch [180/500] | D Loss: 0.4605 | G Loss: 1.8304
Grid Size (8, 8) | Epoch [190/500] | D Loss: 0.4800 | G Loss: 1.8460
Grid Size (8, 8) | Epoch [200/500] | D Loss: 0.3624 | G Loss: 1.8937
Grid Size (8, 8) | Epoch [210/500] | D Loss: 0.4469 | G Loss: 1.7233
Grid Size (8, 8) | Epoch [220/500] | D Loss: 0.4376 | G Loss: 1.7769
Grid Size (8, 8) | Epoch [230/500] | D Loss: 0.3742 | G Loss: 1.8311
Grid Size (8, 8) | Epoch [240/500] | D Loss: 0.3236 | G Loss: 2.2795
Grid Size (8, 8) | Epoch [250/500] | D Loss: 0.3644 | G Loss: 1.8480
Grid Size (8, 8) | Epoch [260/500] | D Loss: 0.3072 | G Loss: 2.2259
Grid Size (8, 8) | Epoch [270/500] | D Loss: 0.3283 | G Loss: 2.5125
Grid Size (8, 8) | Epoch [280/500] | D Loss: 0.3130 | G Loss: 2.3017
Grid Size (8, 8) | Epoch [290/500] | D Loss: 0.2535 | G Loss: 2.3837
Grid Size (8, 8) | Epoch [300/500] | D Loss: 0.2640 | G Loss: 2.8657
Grid Size (8, 8) | Epoch [310/500] | D Loss: 0.2615 | G Loss: 2.8643
Grid Size (8, 8) | Epoch [320/500] | D Loss: 0.2602 | G Loss: 2.4885
Grid Size (8, 8) | Epoch [330/500] | D Loss: 0.1838 | G Loss: 2.8384
Grid Size (8, 8) | Epoch [340/500] | D Loss: 0.2249 | G Loss: 2.7362
Grid Size (8, 8) | Epoch [350/500] | D Loss: 0.1943 | G Loss: 2.6411
Grid Size (8, 8) | Epoch [360/500] | D Loss: 0.1409 | G Loss: 2.9903
Grid Size (8, 8) | Epoch [370/500] | D Loss: 0.1507 | G Loss: 2.8412
Grid Size (8, 8) | Epoch [380/500] | D Loss: 0.1467 | G Loss: 2.6757
Grid Size (8, 8) | Epoch [390/500] | D Loss: 0.1312 | G Loss: 3.2378
Grid Size (8, 8) | Epoch [400/500] | D Loss: 0.1354 | G Loss: 3.4450
Grid Size (8, 8) | Epoch [410/500] | D Loss: 0.1292 | G Loss: 3.2189
Grid Size (8, 8) | Epoch [420/500] | D Loss: 0.0937 | G Loss: 3.3048
Grid Size (8, 8) | Epoch [430/500] | D Loss: 0.0801 | G Loss: 3.6458
Grid Size (8, 8) | Epoch [440/500] | D Loss: 0.0849 | G Loss: 3.9773
Grid Size (8, 8) | Epoch [450/500] | D Loss: 0.0884 | G Loss: 3.7415
Grid Size (8, 8) | Epoch [460/500] | D Loss: 0.0712 | G Loss: 3.7425
Grid Size (8, 8) | Epoch [470/500] | D Loss: 0.0690 | G Loss: 4.0555
Grid Size (8, 8) | Epoch [480/500] | D Loss: 0.0743 | G Loss: 3.8311
Grid Size (8, 8) | Epoch [490/500] | D Loss: 0.0815 | G Loss: 3.7209

Training complete for grid size (8, 8).

Generating 200 new examples for grid size (8, 8)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_8x8.json'.

Processing grid size (5, 3) with 40 examples...
Skipping training for grid size (5, 3) due to insufficient data (40 examples).

Processing grid size (3, 5) with 56 examples...
Skipping training for grid size (3, 5) due to insufficient data (56 examples).

Processing grid size (12, 14) with 20 examples...
Skipping training for grid size (12, 14) due to insufficient data (20 examples).

Processing grid size (14, 12) with 12 examples...
Skipping training for grid size (14, 12) due to insufficient data (12 examples).

Processing grid size (10, 7) with 10 examples...
