/tmp/ipython-input-4229756810.py:268: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  data_tensor = torch.tensor(grids, dtype=torch.float32)
Grid Size (16, 16) | Epoch [20/200] | D Loss: 0.5286 | G Loss: 1.9056
Grid Size (16, 16) | Epoch [30/200] | D Loss: 0.4827 | G Loss: 1.8982
Grid Size (16, 16) | Epoch [40/200] | D Loss: 0.7406 | G Loss: 1.4875
Grid Size (16, 16) | Epoch [50/200] | D Loss: 0.6115 | G Loss: 1.6104
Grid Size (16, 16) | Epoch [60/200] | D Loss: 0.7337 | G Loss: 1.3949
Grid Size (16, 16) | Epoch [70/200] | D Loss: 0.9616 | G Loss: 1.2284
Grid Size (16, 16) | Epoch [80/200] | D Loss: 0.7953 | G Loss: 1.1784
Grid Size (16, 16) | Epoch [90/200] | D Loss: 0.8058 | G Loss: 1.2830
Grid Size (16, 16) | Epoch [100/200] | D Loss: 0.7179 | G Loss: 1.4537
Grid Size (16, 16) | Epoch [110/200] | D Loss: 0.6545 | G Loss: 1.7104
Grid Size (16, 16) | Epoch [120/200] | D Loss: 0.7584 | G Loss: 1.5033
Grid Size (16, 16) | Epoch [130/200] | D Loss: 0.6131 | G Loss: 1.5581
Grid Size (16, 16) | Epoch [140/200] | D Loss: 0.5154 | G Loss: 1.4990
Grid Size (16, 16) | Epoch [150/200] | D Loss: 0.4499 | G Loss: 1.8526
Grid Size (16, 16) | Epoch [160/200] | D Loss: 0.5715 | G Loss: 2.3763
Grid Size (16, 16) | Epoch [170/200] | D Loss: 0.6241 | G Loss: 1.6829
Grid Size (16, 16) | Epoch [180/200] | D Loss: 0.7214 | G Loss: 2.1810
Grid Size (16, 16) | Epoch [190/200] | D Loss: 0.6092 | G Loss: 1.3219

Training complete for grid size (16, 16).

Generating 200 new examples for grid size (16, 16)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_16x16.json'.
Skipping training for grid size (12, 11) due to insufficient data (14 examples).
Skipping training for grid size (11, 12) due to insufficient data (10 examples).
Skipping training for grid size (17, 17) due to insufficient data (96 examples).
Skipping training for grid size (21, 16) due to insufficient data (6 examples).
Skipping training for grid size (16, 21) due to insufficient data (2 examples).
Skipping training for grid size (28, 26) due to insufficient data (8 examples).
Skipping training for grid size (26, 28) due to insufficient data (8 examples).
Skipping training for grid size (17, 11) due to insufficient data (8 examples).
Skipping training for grid size (11, 17) due to insufficient data (8 examples).
Skipping training for grid size (25, 26) due to insufficient data (12 examples).
Skipping training for grid size (26, 25) due to insufficient data (4 examples).
Skipping training for grid size (5, 6) due to insufficient data (24 examples).
Skipping training for grid size (6, 5) due to insufficient data (40 examples).
Skipping training for grid size (2, 2) due to insufficient data (64 examples).
Skipping training for grid size (19, 26) due to insufficient data (6 examples).
Skipping training for grid size (26, 19) due to insufficient data (2 examples).
Skipping training for grid size (1, 1) due to insufficient data (96 examples).
Skipping training for grid size (18, 18) due to insufficient data (72 examples).
Skipping training for grid size (11, 23) due to insufficient data (6 examples).
Skipping training for grid size (23, 11) due to insufficient data (2 examples).
Skipping training for grid size (8, 9) due to insufficient data (22 examples).
Skipping training for grid size (9, 8) due to insufficient data (18 examples).
Skipping training for grid size (25, 25) due to insufficient data (80 examples).
Skipping training for grid size (19, 25) due to insufficient data (6 examples).
Skipping training for grid size (25, 19) due to insufficient data (2 examples).
Using Linear models for grid size (5, 5).
Grid Size (5, 5) | Epoch [0/200] | D Loss: 1.3531 | G Loss: 0.6815
Grid Size (5, 5) | Epoch [10/200] | D Loss: 1.3467 | G Loss: 0.6876
Grid Size (5, 5) | Epoch [20/200] | D Loss: 1.3263 | G Loss: 0.6805
Grid Size (5, 5) | Epoch [30/200] | D Loss: 1.3151 | G Loss: 0.6877
Grid Size (5, 5) | Epoch [40/200] | D Loss: 1.2884 | G Loss: 0.6838
Grid Size (5, 5) | Epoch [50/200] | D Loss: 1.2921 | G Loss: 0.6857
Grid Size (5, 5) | Epoch [60/200] | D Loss: 1.2819 | G Loss: 0.6918
Grid Size (5, 5) | Epoch [70/200] | D Loss: 1.2694 | G Loss: 0.6909
Grid Size (5, 5) | Epoch [80/200] | D Loss: 1.2740 | G Loss: 0.6885
Grid Size (5, 5) | Epoch [90/200] | D Loss: 1.2402 | G Loss: 0.6871
Grid Size (5, 5) | Epoch [100/200] | D Loss: 1.2241 | G Loss: 0.6867
Grid Size (5, 5) | Epoch [110/200] | D Loss: 1.2463 | G Loss: 0.6994
Grid Size (5, 5) | Epoch [120/200] | D Loss: 1.2434 | G Loss: 0.7070
Grid Size (5, 5) | Epoch [130/200] | D Loss: 1.2189 | G Loss: 0.6958
Grid Size (5, 5) | Epoch [140/200] | D Loss: 1.2304 | G Loss: 0.6977
Grid Size (5, 5) | Epoch [150/200] | D Loss: 1.2078 | G Loss: 0.7023
Grid Size (5, 5) | Epoch [160/200] | D Loss: 1.1470 | G Loss: 0.7009
Grid Size (5, 5) | Epoch [170/200] | D Loss: 1.1666 | G Loss: 0.7017
Grid Size (5, 5) | Epoch [180/200] | D Loss: 1.2299 | G Loss: 0.7177
Grid Size (5, 5) | Epoch [190/200] | D Loss: 1.1458 | G Loss: 0.7171

Training complete for grid size (5, 5).

Generating 200 new examples for grid size (5, 5)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_5x5.json'.
Using Linear models for grid size (4, 4).
Grid Size (4, 4) | Epoch [0/200] | D Loss: 1.4196 | G Loss: 0.7330
Grid Size (4, 4) | Epoch [10/200] | D Loss: 1.3944 | G Loss: 0.7398
Grid Size (4, 4) | Epoch [20/200] | D Loss: 1.3598 | G Loss: 0.7406
Grid Size (4, 4) | Epoch [30/200] | D Loss: 1.3449 | G Loss: 0.7329
Grid Size (4, 4) | Epoch [40/200] | D Loss: 1.3281 | G Loss: 0.7428
Grid Size (4, 4) | Epoch [50/200] | D Loss: 1.3158 | G Loss: 0.7366
Grid Size (4, 4) | Epoch [60/200] | D Loss: 1.3026 | G Loss: 0.7379
Grid Size (4, 4) | Epoch [70/200] | D Loss: 1.3062 | G Loss: 0.7485
Grid Size (4, 4) | Epoch [80/200] | D Loss: 1.2806 | G Loss: 0.7526
Grid Size (4, 4) | Epoch [90/200] | D Loss: 1.2496 | G Loss: 0.7445
Grid Size (4, 4) | Epoch [100/200] | D Loss: 1.2498 | G Loss: 0.7390
Grid Size (4, 4) | Epoch [110/200] | D Loss: 1.2215 | G Loss: 0.7453
Grid Size (4, 4) | Epoch [120/200] | D Loss: 1.2093 | G Loss: 0.7611
Grid Size (4, 4) | Epoch [130/200] | D Loss: 1.2095 | G Loss: 0.7650
Grid Size (4, 4) | Epoch [140/200] | D Loss: 1.2036 | G Loss: 0.7651
Grid Size (4, 4) | Epoch [150/200] | D Loss: 1.2010 | G Loss: 0.7705
Grid Size (4, 4) | Epoch [160/200] | D Loss: 1.1641 | G Loss: 0.7700
Grid Size (4, 4) | Epoch [170/200] | D Loss: 1.2150 | G Loss: 0.7643
Grid Size (4, 4) | Epoch [180/200] | D Loss: 1.1682 | G Loss: 0.7756
Grid Size (4, 4) | Epoch [190/200] | D Loss: 1.1702 | G Loss: 0.7669

Training complete for grid size (4, 4).

Generating 200 new examples for grid size (4, 4)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_4x4.json'.
Skipping training for grid size (1, 5) due to insufficient data (22 examples).
Skipping training for grid size (5, 1) due to insufficient data (18 examples).
Skipping training for grid size (2, 10) due to insufficient data (8 examples).
Skipping training for grid size (10, 2) due to insufficient data (8 examples).
Skipping training for grid size (6, 10) due to insufficient data (16 examples).
Skipping training for grid size (10, 6) due to insufficient data (16 examples).
Skipping training for grid size (17, 13) due to insufficient data (12 examples).
Skipping training for grid size (13, 17) due to insufficient data (4 examples).
Skipping training for grid size (13, 11) due to insufficient data (8 examples).
Skipping training for grid size (11, 13) due to insufficient data (8 examples).
Skipping training for grid size (21, 23) due to insufficient data (6 examples).
Skipping training for grid size (23, 21) due to insufficient data (2 examples).
Skipping training for grid size (7, 30) due to insufficient data (6 examples).
Skipping training for grid size (30, 7) due to insufficient data (2 examples).
Skipping training for grid size (1, 6) due to insufficient data (6 examples).
Skipping training for grid size (6, 1) due to insufficient data (2 examples).
Skipping training for grid size (22, 4) due to insufficient data (6 examples).
Skipping training for grid size (4, 22) due to insufficient data (2 examples).
Skipping training for grid size (3, 8) due to insufficient data (18 examples).
Skipping training for grid size (8, 3) due to insufficient data (6 examples).
Skipping training for grid size (12, 13) due to insufficient data (32 examples).
Skipping training for grid size (13, 12) due to insufficient data (32 examples).
Skipping training for grid size (26, 23) due to insufficient data (6 examples).
Skipping training for grid size (23, 26) due to insufficient data (2 examples).
Skipping training for grid size (16, 11) due to insufficient data (14 examples).
Skipping training for grid size (11, 16) due to insufficient data (10 examples).
Skipping training for grid size (3, 6) due to insufficient data (48 examples).
Skipping training for grid size (6, 3) due to insufficient data (32 examples).
Skipping training for grid size (11, 15) due to insufficient data (6 examples).
Skipping training for grid size (15, 11) due to insufficient data (2 examples).
Skipping training for grid size (5, 11) due to insufficient data (16 examples).
Skipping training for grid size (11, 5) due to insufficient data (16 examples).
Skipping training for grid size (14, 16) due to insufficient data (18 examples).
Skipping training for grid size (16, 14) due to insufficient data (6 examples).
Skipping training for grid size (25, 20) due to insufficient data (12 examples).
Skipping training for grid size (20, 25) due to insufficient data (4 examples).
Skipping training for grid size (8, 10) due to insufficient data (26 examples).
Skipping training for grid size (10, 8) due to insufficient data (30 examples).
Skipping training for grid size (19, 21) due to insufficient data (12 examples).
Skipping training for grid size (21, 19) due to insufficient data (4 examples).
Skipping training for grid size (11, 9) due to insufficient data (22 examples).
Skipping training for grid size (9, 11) due to insufficient data (34 examples).
Skipping training for grid size (3, 10) due to insufficient data (6 examples).
Skipping training for grid size (10, 3) due to insufficient data (2 examples).
Skipping training for grid size (28, 28) due to insufficient data (32 examples).
Skipping training for grid size (7, 9) due to insufficient data (20 examples).
Skipping training for grid size (9, 7) due to insufficient data (12 examples).
Skipping training for grid size (3, 14) due to insufficient data (6 examples).
Skipping training for grid size (14, 3) due to insufficient data (2 examples).
Skipping training for grid size (22, 26) due to insufficient data (16 examples).
Skipping training for grid size (26, 22) due to insufficient data (16 examples).
Skipping training for grid size (11, 14) due to insufficient data (6 examples).
Skipping training for grid size (14, 11) due to insufficient data (2 examples).
Skipping training for grid size (22, 23) due to insufficient data (8 examples).
Skipping training for grid size (23, 22) due to insufficient data (8 examples).
Skipping training for grid size (5, 4) due to insufficient data (34 examples).
Skipping training for grid size (4, 5) due to insufficient data (22 examples).
Skipping training for grid size (19, 16) due to insufficient data (10 examples).
Skipping training for grid size (16, 19) due to insufficient data (14 examples).
Skipping training for grid size (3, 13) due to insufficient data (6 examples).
Skipping training for grid size (13, 3) due to insufficient data (2 examples).
Skipping training for grid size (9, 13) due to insufficient data (6 examples).
Skipping training for grid size (13, 9) due to insufficient data (2 examples).
Skipping training for grid size (14, 15) due to insufficient data (8 examples).
Skipping training for grid size (15, 14) due to insufficient data (8 examples).
Skipping training for grid size (17, 18) due to insufficient data (28 examples).
Skipping training for grid size (18, 17) due to insufficient data (20 examples).
Skipping training for grid size (9, 15) due to insufficient data (32 examples).
Skipping training for grid size (15, 9) due to insufficient data (16 examples).
Skipping training for grid size (29, 29) due to insufficient data (40 examples).
Skipping training for grid size (6, 12) due to insufficient data (18 examples).
Skipping training for grid size (12, 6) due to insufficient data (6 examples).
Skipping training for grid size (11, 20) due to insufficient data (6 examples).
Skipping training for grid size (20, 11) due to insufficient data (2 examples).
Skipping training for grid size (2, 5) due to insufficient data (6 examples).
Skipping training for grid size (5, 2) due to insufficient data (2 examples).
Skipping training for grid size (30, 10) due to insufficient data (6 examples).
Skipping training for grid size (10, 30) due to insufficient data (2 examples).
Skipping training for grid size (4, 24) due to insufficient data (6 examples).
Skipping training for grid size (24, 4) due to insufficient data (2 examples).
Skipping training for grid size (17, 19) due to insufficient data (24 examples).
Skipping training for grid size (19, 17) due to insufficient data (8 examples).
Skipping training for grid size (10, 4) due to insufficient data (18 examples).
Skipping training for grid size (4, 10) due to insufficient data (6 examples).
Skipping training for grid size (11, 19) due to insufficient data (6 examples).
Skipping training for grid size (19, 11) due to insufficient data (2 examples).
Skipping training for grid size (17, 14) due to insufficient data (10 examples).
Skipping training for grid size (14, 17) due to insufficient data (14 examples).
Skipping training for grid size (7, 4) due to insufficient data (8 examples).
Skipping training for grid size (4, 7) due to insufficient data (8 examples).
Skipping training for grid size (14, 13) due to insufficient data (28 examples).
Skipping training for grid size (13, 14) due to insufficient data (20 examples).
Skipping training for grid size (17, 21) due to insufficient data (8 examples).
Skipping training for grid size (21, 17) due to insufficient data (8 examples).
Skipping training for grid size (3, 2) due to insufficient data (14 examples).
Skipping training for grid size (2, 3) due to insufficient data (10 examples).
Skipping training for grid size (18, 14) due to insufficient data (16 examples).
Skipping training for grid size (14, 18) due to insufficient data (16 examples).
Skipping training for grid size (26, 24) due to insufficient data (6 examples).
Skipping training for grid size (24, 26) due to insufficient data (2 examples).
Skipping training for grid size (1, 4) due to insufficient data (6 examples).
Skipping training for grid size (4, 1) due to insufficient data (2 examples).
Skipping training for grid size (19, 29) due to insufficient data (12 examples).
Skipping training for grid size (29, 19) due to insufficient data (4 examples).
Skipping training for grid size (27, 27) due to insufficient data (40 examples).
Skipping training for grid size (19, 22) due to insufficient data (6 examples).
Skipping training for grid size (22, 19) due to insufficient data (2 examples).
Skipping training for grid size (12, 4) due to insufficient data (12 examples).
Skipping training for grid size (4, 12) due to insufficient data (4 examples).
Skipping training for grid size (16, 17) due to insufficient data (14 examples).
Skipping training for grid size (17, 16) due to insufficient data (10 examples).
Skipping training for grid size (7, 17) due to insufficient data (6 examples).
Skipping training for grid size (17, 7) due to insufficient data (2 examples).
Skipping training for grid size (19, 23) due to insufficient data (6 examples).
Skipping training for grid size (23, 19) due to insufficient data (2 examples).
Skipping training for grid size (7, 11) due to insufficient data (22 examples).
Skipping training for grid size (11, 7) due to insufficient data (18 examples).
Skipping training for grid size (4, 18) due to insufficient data (6 examples).
Skipping training for grid size (18, 4) due to insufficient data (2 examples).
Skipping training for grid size (19, 30) due to insufficient data (6 examples).
Skipping training for grid size (30, 19) due to insufficient data (2 examples).
Skipping training for grid size (9, 5) due to insufficient data (6 examples).
Skipping training for grid size (5, 9) due to insufficient data (2 examples).
Skipping training for grid size (12, 24) due to insufficient data (6 examples).
Skipping training for grid size (24, 12) due to insufficient data (2 examples).
Skipping training for grid size (24, 20) due to insufficient data (6 examples).
Skipping training for grid size (20, 24) due to insufficient data (2 examples).
Skipping training for grid size (24, 24) due to insufficient data (32 examples).
Skipping training for grid size (30, 16) due to insufficient data (8 examples).
Skipping training for grid size (16, 30) due to insufficient data (8 examples).
Skipping training for grid size (21, 30) due to insufficient data (6 examples).
Skipping training for grid size (30, 21) due to insufficient data (2 examples).
Skipping training for grid size (24, 28) due to insufficient data (6 examples).
Skipping training for grid size (28, 24) due to insufficient data (2 examples).
Skipping training for grid size (5, 16) due to insufficient data (6 examples).
Skipping training for grid size (16, 5) due to insufficient data (2 examples).
Skipping training for grid size (5, 12) due to insufficient data (8 examples).
Skipping training for grid size (12, 5) due to insufficient data (8 examples).
Skipping training for grid size (4, 14) due to insufficient data (6 examples).
Skipping training for grid size (14, 4) due to insufficient data (2 examples).
Skipping training for grid size (16, 18) due to insufficient data (32 examples).
Skipping training for grid size (18, 16) due to insufficient data (16 examples).
Skipping training for grid size (13, 16) due to insufficient data (6 examples).
Skipping training for grid size (16, 13) due to insufficient data (2 examples).
Skipping training for grid size (24, 6) due to insufficient data (6 examples).
Skipping training for grid size (6, 24) due to insufficient data (2 examples).
Skipping training for grid size (22, 22) due to insufficient data (32 examples).
Skipping training for grid size (21, 12) due to insufficient data (6 examples).
Skipping training for grid size (12, 21) due to insufficient data (2 examples).
Skipping training for grid size (10, 15) due to insufficient data (26 examples).
Skipping training for grid size (15, 10) due to insufficient data (14 examples).
Skipping training for grid size (15, 13) due to insufficient data (8 examples).
Skipping training for grid size (13, 15) due to insufficient data (8 examples).
Skipping training for grid size (7, 6) due to insufficient data (8 examples).
Skipping training for grid size (6, 7) due to insufficient data (8 examples).
Skipping training for grid size (3, 29) due to insufficient data (6 examples).
Skipping training for grid size (29, 3) due to insufficient data (2 examples).
Skipping training for grid size (12, 8) due to insufficient data (10 examples).
Skipping training for grid size (8, 12) due to insufficient data (14 examples).
Skipping training for grid size (7, 5) due to insufficient data (6 examples).
Skipping training for grid size (5, 7) due to insufficient data (2 examples).
Skipping training for grid size (3, 25) due to insufficient data (6 examples).
Skipping training for grid size (25, 3) due to insufficient data (2 examples).
Skipping training for grid size (7, 8) due to insufficient data (14 examples).
Skipping training for grid size (8, 7) due to insufficient data (10 examples).
Skipping training for grid size (8, 16) due to insufficient data (6 examples).
Skipping training for grid size (16, 8) due to insufficient data (2 examples).
Skipping training for grid size (6, 9) due to insufficient data (12 examples).
Skipping training for grid size (9, 6) due to insufficient data (4 examples).
Skipping training for grid size (22, 25) due to insufficient data (12 examples).
Skipping training for grid size (25, 22) due to insufficient data (4 examples).
Skipping training for grid size (29, 28) due to insufficient data (14 examples).
Skipping training for grid size (28, 29) due to insufficient data (10 examples).
Skipping training for grid size (12, 17) due to insufficient data (18 examples).
Skipping training for grid size (17, 12) due to insufficient data (6 examples).
Skipping training for grid size (7, 15) due to insufficient data (18 examples).
Skipping training for grid size (15, 7) due to insufficient data (6 examples).
Skipping training for grid size (10, 20) due to insufficient data (8 examples).
Skipping training for grid size (20, 10) due to insufficient data (8 examples).
Skipping training for grid size (14, 10) due to insufficient data (8 examples).
Skipping training for grid size (10, 14) due to insufficient data (8 examples).
Skipping training for grid size (9, 30) due to insufficient data (6 examples).
Skipping training for grid size (30, 9) due to insufficient data (2 examples).
Skipping training for grid size (3, 30) due to insufficient data (6 examples).
Skipping training for grid size (30, 3) due to insufficient data (2 examples).
Skipping training for grid size (27, 25) due to insufficient data (12 examples).
Skipping training for grid size (25, 27) due to insufficient data (4 examples).
Skipping training for grid size (15, 18) due to insufficient data (8 examples).
Skipping training for grid size (18, 15) due to insufficient data (8 examples).
Skipping training for grid size (4, 9) due to insufficient data (14 examples).
Skipping training for grid size (9, 4) due to insufficient data (10 examples).
Skipping training for grid size (20, 19) due to insufficient data (6 examples).
Skipping training for grid size (19, 20) due to insufficient data (2 examples).
Skipping training for grid size (3, 11) due to insufficient data (6 examples).
Skipping training for grid size (11, 3) due to insufficient data (2 examples).
Skipping training for grid size (9, 10) due to insufficient data (8 examples).
Skipping training for grid size (10, 9) due to insufficient data (8 examples).
Skipping training for grid size (17, 5) due to insufficient data (6 examples).
Skipping training for grid size (5, 17) due to insufficient data (2 examples).
Skipping training for grid size (10, 13) due to insufficient data (8 examples).
Skipping training for grid size (13, 10) due to insufficient data (8 examples).
Skipping training for grid size (9, 12) due to insufficient data (6 examples).
Skipping training for grid size (12, 9) due to insufficient data (2 examples).
Skipping training for grid size (22, 27) due to insufficient data (6 examples).
Skipping training for grid size (27, 22) due to insufficient data (2 examples).
Skipping training for grid size (5, 18) due to insufficient data (6 examples).
Skipping training for grid size (18, 5) due to insufficient data (2 examples).
Skipping training for grid size (13, 29) due to insufficient data (6 examples).
Skipping training for grid size (29, 13) due to insufficient data (2 examples).
Skipping training for grid size (10, 16) due to insufficient data (6 examples).
Skipping training for grid size (16, 10) due to insufficient data (2 examples).
Skipping training for grid size (12, 26) due to insufficient data (6 examples).
Skipping training for grid size (26, 12) due to insufficient data (2 examples).
Skipping training for grid size (13, 24) due to insufficient data (8 examples).
Skipping training for grid size (24, 13) due to insufficient data (8 examples).
Skipping training for grid size (10, 5) due to insufficient data (12 examples).
Skipping training for grid size (5, 10) due to insufficient data (4 examples).
Skipping training for grid size (7, 28) due to insufficient data (6 examples).
Skipping training for grid size (28, 7) due to insufficient data (2 examples).
Skipping training for grid size (16, 27) due to insufficient data (6 examples).
Skipping training for grid size (27, 16) due to insufficient data (2 examples).
Skipping training for grid size (28, 27) due to insufficient data (6 examples).
Skipping training for grid size (27, 28) due to insufficient data (2 examples).
Skipping training for grid size (26, 27) due to insufficient data (6 examples).
Skipping training for grid size (27, 26) due to insufficient data (2 examples).
Skipping training for grid size (5, 8) due to insufficient data (6 examples).
Skipping training for grid size (8, 5) due to insufficient data (2 examples).
Skipping training for grid size (11, 6) due to insufficient data (12 examples).
Skipping training for grid size (6, 11) due to insufficient data (4 examples).
Skipping training for grid size (8, 4) due to insufficient data (6 examples).
Skipping training for grid size (4, 8) due to insufficient data (2 examples).
Skipping training for grid size (10, 24) due to insufficient data (6 examples).
Skipping training for grid size (24, 10) due to insufficient data (2 examples).
Skipping training for grid size (8, 2) due to insufficient data (6 examples).
Skipping training for grid size (2, 8) due to insufficient data (2 examples).
Skipping training for grid size (12, 7) due to insufficient data (6 examples).
Skipping training for grid size (7, 12) due to insufficient data (2 examples).
Skipping training for grid size (5, 27) due to insufficient data (6 examples).
Skipping training for grid size (27, 5) due to insufficient data (2 examples).
Skipping training for grid size (18, 22) due to insufficient data (12 examples).
Skipping training for grid size (22, 18) due to insufficient data (4 examples).
Skipping training for grid size (27, 23) due to insufficient data (6 examples).
Skipping training for grid size (23, 27) due to insufficient data (2 examples).
Skipping training for grid size (19, 9) due to insufficient data (6 examples).
Skipping training for grid size (9, 19) due to insufficient data (2 examples).
Skipping training for grid size (16, 7) due to insufficient data (6 examples).
Skipping training for grid size (7, 16) due to insufficient data (2 examples).
Skipping training for grid size (3, 17) due to insufficient data (12 examples).
Skipping training for grid size (17, 3) due to insufficient data (4 examples).
Skipping training for grid size (4, 20) due to insufficient data (6 examples).
Skipping training for grid size (20, 4) due to insufficient data (2 examples).
Skipping training for grid size (21, 22) due to insufficient data (6 examples).
Skipping training for grid size (22, 21) due to insufficient data (2 examples).
Skipping training for grid size (23, 28) due to insufficient data (6 examples).
Skipping training for grid size (28, 23) due to insufficient data (2 examples).
Skipping training for grid size (5, 15) due to insufficient data (6 examples).
Skipping training for grid size (15, 5) due to insufficient data (2 examples).
Skipping training for grid size (17, 25) due to insufficient data (6 examples).
Skipping training for grid size (25, 17) due to insufficient data (2 examples).
Skipping training for grid size (22, 3) due to insufficient data (6 examples).
Skipping training for grid size (3, 22) due to insufficient data (2 examples).
Skipping training for grid size (17, 6) due to insufficient data (6 examples).
Skipping training for grid size (6, 17) due to insufficient data (2 examples).
Skipping training for grid size (11, 28) due to insufficient data (6 examples).
Skipping training for grid size (28, 11) due to insufficient data (2 examples).
Skipping training for grid size (17, 30) due to insufficient data (8 examples).
Skipping training for grid size (30, 17) due to insufficient data (8 examples).
Skipping training for grid size (3, 15) due to insufficient data (6 examples).
Skipping training for grid size (15, 3) due to insufficient data (2 examples).
Skipping training for grid size (3, 1) due to insufficient data (18 examples).
Skipping training for grid size (1, 3) due to insufficient data (6 examples).
Skipping training for grid size (2, 6) due to insufficient data (6 examples).
Skipping training for grid size (6, 2) due to insufficient data (2 examples).
Skipping training for grid size (8, 13) due to insufficient data (6 examples).
Skipping training for grid size (13, 8) due to insufficient data (2 examples).
Skipping training for grid size (30, 29) due to insufficient data (6 examples).
Skipping training for grid size (29, 30) due to insufficient data (2 examples).
Skipping training for grid size (25, 15) due to insufficient data (6 examples).
Skipping training for grid size (15, 25) due to insufficient data (2 examples).
Skipping training for grid size (20, 18) due to insufficient data (6 examples).
Skipping training for grid size (18, 20) due to insufficient data (2 examples).
Skipping training for grid size (30, 20) due to insufficient data (6 examples).
Skipping training for grid size (20, 30) due to insufficient data (2 examples).
